Ydigital
11926
12077
12212
12331
12436
12529
12611
12684
12749
12807
12859
12906
12949
12987
13022
13054
13083
13110
13134
13157
13178
13197
13215
13231
13247
13261
13275
13287
13299
13310
13320
13330
13339
13348
13356
13364
13372
13379
13385
13392
13398
13403
13409
13414
13419
13424
13429
13433
13438
13442
13446
13449
13453
13457
13460
13464
13467
13470
13473
13476
13479
13482
13485
13488
13491
13494
13496
13499
13502
13504
13507
13509
13512
13514
13517
13519
13522
13525
13527
13530
13532
13535
13538
13540
13543
13546
13549
13551
13554
13557
13560
13563
13567
13570
13573
13577
13580
13584
13588
13592
13596
13600
13604
13609
13614
13619
13624
13629
13635
13641
13647
13654
13661
13668
13676
13684
13692
13702
13711
13721
13732
13744
13756
13769
13783
13799
13815
13832
13851
13871
13893
13917
13943
13972
14003
14037
14074
14115
14161
14211
14267
14330
14401
14480
14569
14670
14785
14915
15062
15225
15403
15588
15756
15861
15809
15450
14629
13362
11983
10904
10279
10019
9974
10036
10141
10257
10369
10469
10556
10629
10688
10733
10766
10787
10797
10796
10785
10762
10729
10685
10629
10560
10478
10382
10269
10138
9988
9814
9616
9390
9135
8850
8541
8222
7930
7742
7811
8395
9805
12136
14899
17230
18640
19224
19293
19105
18812
18493
18184
17899
17644
17418
17220
17047
16896
16766
16653
16556
16474
16406
16350
16306
16272
16250
16238
16237
16247
16269
16302
16347
16406
16478
16565
16666
16778
16894
16999
17061
17016
16755
16131
15052
13672
12406
11584
11225
11173
11278
11447
11631
11809
11973
12120
12250
12364
12465
12555
12634
12704
12767
12824
12874
12920
12961
12998
13032
13063
13091
13117
13141
13163
13183
13202
13220
13236
13251
13265
13278
13291
13302
13313
13323
13333
13342
13351
13359
13366
13374
13381
13387
13393
13399
13405
13411
13416
13421
13426
13430
13435
13439
13443
13447
13451
13454
13458
13461
13465
13468
13471
13474
13477
13480
13483
13486
13489
13492
13494
13497
13500
13502
13505
13507
13510
13513
13515
13518
13520
13523
13525
13528
13530
13533
13536
13538
13541
13544
13547
13549
13552
13555
13558
13561
13564
13568
13571
13574
13578
13581
13585
13589
13593
13597
13601
13606
13610
13615
13620
13626
13631
13637
13643
13649
13656
13663
13670
13678
13686
13695
13704
13714
13725
13736
13747
13760
13773
13788
13803
13820
13838
13857
13878
13900
13925
13952
13981
14013
14047
14086
14128
14175
14227
14285
14350
14423
14506
14598
14703
14822
14957
15109
